"","WBIC","LAKE_NAME","UNIQUE_ID","BRANCH","TOUCH_SHORE","IN_WATER","LATITUDE","LONGITUDE"
"302",2328700,"Papoose Lake",232870020618,0,0,1,46.181627,-89.795288
"303",2328700,"Papoose Lake",232870020718,0,0,1,46.180486,-89.795146
"304",2328700,"Papoose Lake",232870020818,0,1,0,46.180466,-89.795106
"305",2328700,"Papoose Lake",232870020918,0,1,1,46.179459,-89.794253
"306",2328700,"Papoose Lake",232870021018,2,0,1,46.178923,-89.794334
"307",2328700,"Papoose Lake",232870021118,0,0,1,46.178913,-89.794337
"308",2328700,"Papoose Lake",232870021218,0,0,1,46.178773,-89.794655
"309",2328700,"Papoose Lake",232870021318,0,0,1,46.178769,-89.794695
"310",2328700,"Papoose Lake",232870021418,0,0,1,46.178771,-89.794735
"311",2328700,"Papoose Lake",232870021518,0,0,1,46.177782,-89.798091
"312",2328700,"Papoose Lake",232870021618,0,0,1,46.177766,-89.798152
"313",2328700,"Papoose Lake",232870021718,0,0,1,46.177737,-89.798277
"314",2328700,"Papoose Lake",232870021818,0,1,0,46.177714,-89.798759
"315",2328700,"Papoose Lake",232870021918,0,1,1,46.17771,-89.798783
"316",2328700,"Papoose Lake",232870022018,0,1,0,46.177685,-89.799015
"317",2328700,"Papoose Lake",232870022118,0,1,0,46.177663,-89.799294
"318",2328700,"Papoose Lake",232870022218,0,1,1,46.177635,-89.799919
"319",2328700,"Papoose Lake",232870022318,0,1,1,46.177634,-89.800073
"320",2328700,"Papoose Lake",232870022418,0,1,0,46.177617,-89.800644
"321",2328700,"Papoose Lake",232870022518,0,1,1,46.1776,-89.800731
"322",2328700,"Papoose Lake",232870022618,0,0,0,46.1775,-89.80125
"323",2328700,"Papoose Lake",232870022718,0,0,0,46.177482,-89.801285
"324",2328700,"Papoose Lake",232870022818,0,0,1,46.177466,-89.801331
"325",2328700,"Papoose Lake",232870022918,0,1,0,46.177428,-89.801415
"326",2328700,"Papoose Lake",232870023018,0,0,0,46.17742,-89.80143
"327",2328700,"Papoose Lake",232870023118,0,1,1,46.177315,-89.801714
"328",2328700,"Papoose Lake",232870023218,0,1,0,46.177301,-89.801739
"329",2328700,"Papoose Lake",232870023318,0,0,1,46.17698,-89.802091
